timestamp,cpu,ram,sensorA
1769277829814,99.5118,92.9899,80.963
1769277830319,97.2998,67.071,41.0923
1769277830825,65.6376,66.9214,23.1584
1769277831326,8.39497,60,5.95956
1769277831833,50.9221,27.0531,93.0465
1769277832334,17.6986,88.1406,40.3128
1769277832836,37.0077,89.2629,96.8395
1769277833338,12.0241,75.2916,57.2358
1769277833846,48.7095,18.717,66.8947
1769277834358,2.32528,13.363,98.6889
1769277834858,10.3272,58.0717,37.6991
1769277835366,63.1493,28.2401,93.2191
1769277835882,14.139,97.2374,41.6742
1769277836391,92.1489,66.9082,16.7276
1769277836899,27.1633,33.2734,99.0604
1769277837408,92.4651,68.7201,28.3989
1769277837915,26.9582,46.6166,36.8251
1769277838425,65.7721,69.0355,23.9036
1769277838938,44.1393,68.0487,71.5959
1769277839446,51.703,41.1591,64.1822
1769277839958,65.0625,33.3986,38.0671
1769277840472,47.5652,35.3396,53.3298
1769277840975,63.3229,78.6035,32.5325
1769277841487,79.2244,52.7108,6.86117
1769277841996,82.0552,71.4725,91.5307
1769277842507,56.0053,84.8647,62.4012
1769277843014,96.3626,12.8749,16.0775
1769277843527,80.0404,83.3997,8.6385
1769277844043,21.217,32.4123,10.1605
1769277844556,43.9131,31.0137,71.1584
1769277845064,43.9927,15.1707,89.2345
1769277845574,13.1854,32.1303,39.9607
1769277846079,3.11294,43.5235,95.2363
1769277846588,97.2205,34.4841,9.58456
1769277847096,84.8276,13.483,66.9754
1769277847609,76.3122,96.5783,52.0135
1769277848113,92.6187,71.9075,38.7116
1769277848615,11.8807,70.4598,80.8145
1769277849122,50.3728,28.9106,62.5792
1769277849630,38.9399,37.5455,33.8682
1769277850140,59.085,4.20587,94.7146
1769277850641,56.084,1.2019,65.8202
1769277851142,80.6795,35.4997,15.8632
1769277851649,43.3998,0.668329,56.3289
1769277852164,45.9228,59.0393,4.27156
1769277852677,47.193,72.981,11.1172
1769277853195,10.2083,95.6057,2.83594
1769277853709,14.1821,36.1769,62.3074
1769277854223,37.0821,43.8207,73.9612
1769277854730,8.60969,27.472,64.5216
1769277855237,58.3919,61.3253,45.7123
1769277855741,21.3256,40.3794,72.933
1769277856242,75.3229,0.437099,60.0356
1769277856746,55.6176,30.1842,28.6452
1769277857247,49.9994,58.7276,38.5132
1769277857751,14.055,96.4451,88.5523
1769277858260,13.0641,79.3204,42.0934
1769277858763,81.1084,28.2699,72.4168
1769277859271,36.0334,44.8281,91.4243
1769277859776,55.0292,3.94058,79.3834
1769277860278,72.5689,76.3882,63.9869
1769277860793,58.4986,4.80756,71.2677
1769277861300,3.44553,25.5155,41.0134
1769277861806,10.0446,74.8903,7.83268
1769277862316,51.1044,20.8532,98.1196
1769277862829,46.2707,5.18346,72.7013
1769277863338,67.497,81.1126,36.9712
1769277863845,19.771,23.4293,34.0288
1769277864354,0.837064,74.5352,66.3795
1769277864871,13.1173,25.5841,7.53091
1769277865372,32.9778,77.2128,99.6087
1769277865880,15.3124,33.6169,37.6125
